,n_embedding,r_model,n_control,rmse_train_mean,rmse_train_std,mae_train_mean,mae_train_std,rmse_test,mae_test
0,30,3,1,3.0081446946817336,2.103899424138422,3.426290541900419,1.8590260523260584,0.20160248590446567,0.5199502086918792
1,30,3,2,3.0279506482555543,2.1156698838498187,3.436542170788647,1.8769849548299513,0.20097188650769207,0.5177069249465095
2,30,4,1,4.097686499862709,2.483641882056038,4.224482491856576,2.4935576370946344,0.6914619716176029,0.714108989785516
3,30,4,2,4.100407737703157,2.490165006487807,4.204916407316686,2.5005620441696386,0.7043949768979596,0.7277706579712875
4,30,4,3,2.787899028119249,1.6527775301888514,3.150224777927923,1.648942081298164,0.35333152230329884,0.43157769571057525
5,30,5,1,3.9177122883038824,2.0788659334428616,4.068565138935288,2.0507967387345842,0.01248840209052565,0.44296904830250877
6,30,5,2,3.192299971755158,1.7574203154385701,3.417741021418871,1.7041586300352316,0.11244121404180964,0.4827763555665545
7,30,5,3,3.2251535496397774,1.6994784518016224,3.3577533668342965,1.6687810698897698,0.032468776991842724,0.40834156791464515
8,30,5,4,3.019216966758729,1.6029453560126017,3.1672209694684854,1.570506391342444,0.07256330468671236,0.4233230944052067
9,30,6,1,3.2400541454259675,1.852118354936955,3.5360832946539205,1.8473127615737024,0.3433808785609498,0.45392779176088544
10,30,6,2,3.2510108342848647,1.8635017671881497,3.4610590963803682,1.8631949547583027,0.379874553527951,0.4599182846001312
11,30,6,3,2.7656383952346713,1.586355251961367,3.0883985032963825,1.5773073550879089,0.2109574085781386,0.3933329413508771
12,30,6,4,2.7695201177999174,1.5894171647492081,3.0630124540812114,1.5819119695957369,0.23331288255181162,0.39512886868329805
13,30,6,5,2.4456150279439766,1.4000104498631674,2.828478783699736,1.3881638481086616,0.13681689553485474,0.38648938263358634
14,30,7,1,3.8595714661052147,2.064534196519741,4.02283313093366,2.027823474166765,0.10728045876373114,0.48357034024466794
15,30,7,2,3.641540666905286,1.9656112800058176,3.8206545238050267,1.9255187810150933,0.14805431499790078,0.4987374043374424
16,30,7,3,3.6642453531581336,1.9421829981736516,3.798217532890844,1.9077731076817905,0.04687321518398778,0.4464312550742715
17,30,7,4,3.5169954791917815,1.8713169402800904,3.66043929381715,1.83648767401121,0.07043565531201712,0.45614849383872974
18,30,7,5,3.529057274244988,1.8648241519539208,3.646929362532933,1.8272470369219909,0.026075934538047466,0.42604388396200044
19,30,7,6,3.4412032876477148,1.8210420216446388,3.5632016842011067,1.7847440481625334,0.03796398952558168,0.42570466020231984
20,30,8,1,3.8421727382145443,2.1032600319297026,4.022412111712481,2.1098975831098037,0.2449840175268248,0.4446138954758678
21,30,8,2,3.850451387925225,2.1125002841966016,3.9905835202687667,2.1191180473742723,0.29026533158844303,0.4426726104040581
